episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40,oracle_refresh_requests,cadence_refreshes,event_refreshes,cache_hits,llm_calls,scenario_id,scenario_label
0,0,oracle_v1,120,17125.401279765127,45874242.83064114,133.28382003475053,152.20327788250665,1.1419486464510347,62,0.7545852694965045,18.5,0.341658515514419,49,Time Limit,-1550.5538837696984,-261.54743149046175,0.0,40,11,28,4,36,oracle_v1_action_modifier,Oracle v1 + ActionModifier
1,1,oracle_v1,120,933618.1907571477,55008069.49508697,437.7904031193492,1004.7398723281319,2.2950248912930657,72,1.2136125553903807,24.5,0.33842525052840244,74,Time Limit,-1492.2931938567633,-46.612927591618366,0.0,32,11,20,2,30,oracle_v1_action_modifier,Oracle v1 + ActionModifier
0,0,oracle_v1,120,15640.283409216603,11825870.660351824,104.43136056410009,118.55758434987017,1.1352680239869075,63,0.7545852694965045,18.5,0.3340443664006449,49,Time Limit,-1532.1661536481467,-331.36380574866723,0.0,38,11,26,6,32,oracle_v1_weights_only,Oracle v1 Weights Only
1,1,oracle_v1,120,553179.4878887987,28220647.48059915,169.701765812879,518.1769959534005,3.053456712552811,83,1.2136125553903807,24.5,0.3132539478538567,74,Time Limit,-1449.7789379131837,-63.866450583893496,0.0,32,11,20,2,30,oracle_v1_weights_only,Oracle v1 Weights Only
0,0,oracle_v3,120,17014.500207719877,44031310.808407694,126.93697146166711,144.8963423175322,1.141482585011007,62,0.7545852694965045,18.5,0.33958158510574954,49,Time Limit,-1547.396467186302,-264.2933367209562,0.0,40,11,28,4,36,oracle_v3_no_memory,Oracle v3 No Memory
1,1,oracle_v3,120,1047130.8989334404,60245778.0613683,519.2158347029629,1114.4962329578823,2.146498928707504,72,1.2136125553903807,24.5,0.34598019918245615,74,Time Limit,-1515.1208656605277,-45.06711237698575,0.0,32,11,20,2,30,oracle_v3_no_memory,Oracle v3 No Memory
0,0,oracle_v3,120,17197.524065968362,45931649.56834705,126.93697146166711,145.03705906716138,1.1425911410763427,63,0.7545852694965045,18.5,0.3408296827384714,49,Time Limit,-1544.6111948321495,-263.1026174232216,0.0,40,11,28,3,37,oracle_v3_full,Oracle v3 Full
1,1,oracle_v3,120,1001398.4046161928,57697829.018084124,480.5617432178883,1058.3227076014168,2.202261670924499,69,1.2136125553903807,24.5,0.34222557138776794,74,Time Limit,-1516.022465001985,-46.40482905479603,0.0,32,11,20,0,32,oracle_v3_full,Oracle v3 Full
