scenario_id,scenario_label,policy,month,reward_mean,reward_std,rule40_mean,rule40_std,n,reward_ci95,rule40_ci95
boardroom,Boardroom Baseline,boardroom,0,-6.93358006689602,0.0006451244455915306,-66.53258155160816,2.255434977226947,2,0.0008940968655664871,3.1258733991681007
boardroom,Boardroom Baseline,boardroom,1,-6.919688650762065,0.005669033208311421,-71.49274695480844,13.881404727875264,2,0.00785687917576272,19.238645414332176
boardroom,Boardroom Baseline,boardroom,2,-6.914576253066075,0.002730861040592008,-89.53005258376552,1.0477998393870187,2,0.00378478030615029,1.452176488643203
boardroom,Boardroom Baseline,boardroom,3,-6.896702100224488,0.016475244951820477,-66.95472243320327,37.23915157971427,2,0.02283352455719772,51.61083095099339
boardroom,Boardroom Baseline,boardroom,4,-6.877238148931903,0.027837643426353056,-63.739155979685385,26.677296058458506,2,0.038581005420493635,36.97284601544804
boardroom,Boardroom Baseline,boardroom,5,-6.864043377432955,0.018421799391715836,-53.4017284009339,1.5224733838344413,2,0.025531311372219343,2.110040457615311
boardroom,Boardroom Baseline,boardroom,6,-6.846469814141814,0.03431950161767753,-46.540372006339965,23.174781263048857,2,0.04756440254877283,32.1186081678889
boardroom,Boardroom Baseline,boardroom,7,-6.830576892312386,0.0473237305066974,-48.83949199653287,15.137738517830497,2,0.06558734427456762,20.97983521326201
boardroom,Boardroom Baseline,boardroom,8,-6.810116843580136,0.033343297401140164,-35.17810485713252,6.4815064353096545,2,0.04621145253095335,8.982909619314938
boardroom,Boardroom Baseline,boardroom,9,-6.794078830987521,0.04053736547303028,-45.957627892046084,10.263934995453084,2,0.05618192219413757,14.22508815240787
boardroom,Boardroom Baseline,boardroom,10,-6.783714470380466,0.04454067314173138,-45.65643339307174,2.8909145642022778,2,0.061730223553578295,4.006603172669632
boardroom,Boardroom Baseline,boardroom,11,-6.771874956776359,0.0390174062602125,-44.4620545479631,5.466257713146538,2,0.05407536619977715,7.575846677491206
boardroom,Boardroom Baseline,boardroom,12,-6.760236451088053,0.03530472259516436,-43.44338397410007,3.0249188499148776,2,0.048929849159703255,4.192323637375091
boardroom,Boardroom Baseline,boardroom,13,-6.748831027861624,0.03169054922812094,-46.96554531584233,0.18978445717057774,2,0.04392086042711163,0.2630278381930819
boardroom,Boardroom Baseline,boardroom,14,-6.729154292052377,0.047824359669512706,-37.14422950147571,9.182454017287649,2,0.06628118089530506,12.726231986973191
boardroom,Boardroom Baseline,boardroom,15,-6.707192414572413,0.05930790820429091,-39.860661472857274,8.653834014160767,2,0.08219656717571701,11.993602040764724
boardroom,Boardroom Baseline,boardroom,16,-6.694739319216408,0.05939758242702139,-44.04442365154652,4.859961153964008,2,0.08232084930765811,6.735562517011451
boardroom,Boardroom Baseline,boardroom,17,-6.675706799785327,0.04837696881754498,-37.943381009106716,5.66831127187298,2,0.06704705810010697,7.855878622906355
boardroom,Boardroom Baseline,boardroom,18,-6.657609216759525,0.053182755145232234,-40.78829626107898,2.8950122809871495,2,0.07370753813853982,4.012282318388523
boardroom,Boardroom Baseline,boardroom,19,-6.64055387095201,0.05675036702668099,-41.42744442268753,2.874017317680789,2,0.07865199594440747,3.983184783776129
boardroom,Boardroom Baseline,boardroom,20,-7.607789426243064,1.4679468093257502,-35.1876059280319,0.5396898683364637,2,2.034470480858972,0.7479719966512414
boardroom,Boardroom Baseline,boardroom,21,-6.589392490457819,0.04326970018561878,-39.433573314514305,2.800938883605372,2,0.059968744905473305,3.881903241441415
boardroom,Boardroom Baseline,boardroom,22,-6.5670134054777005,0.03098511900630673,-38.214126991569216,4.367278294814949,2,0.042943184019854065,6.052738911281247
boardroom,Boardroom Baseline,boardroom,23,-6.547294864072365,0.03685532345098809,-39.21226665912947,0.8438621592943409,2,0.05107887230463384,1.169533284238552
boardroom,Boardroom Baseline,boardroom,24,-7.5315531009270655,1.44546319228803,-40.41266270405875,2.2171437216795398,2,2.0033097774359443,3.0728044265109724
boardroom,Boardroom Baseline,boardroom,25,-7.5169007591664325,1.4425258609614358,-41.11461435031555,1.7559165048851442,2,1.999238843912676,2.433576116891267
boardroom,Boardroom Baseline,boardroom,26,-7.502408258720634,1.4381114593782005,-41.55252459539818,2.360731113708133,2,1.993120795455679,3.271806398959739
