episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40,oracle_refresh_requests,cadence_refreshes,event_refreshes,cache_hits,llm_calls
28,28,oracle_v2,120,2758829.177710521,76541790.84155557,222.17324570058264,604.2565494631557,2.7197538909680294,97,1.171483096985049,20.5,0.41150381890584165,65,Time Limit,-1228.328905016666,-43.85775664565613,0.0,22,11,10,19,3
29,29,oracle_v2,120,6081307.962470634,172780590.01890343,700.4121003635412,866.1689718169224,1.236656207634544,82,0.8073999283754971,21.5,0.46145606025945507,68,Time Limit,-1231.7837090350934,-30.082887627991887,0.0,26,11,14,22,4
30,30,oracle_v2,120,2842297.1898279362,69699268.61117156,49.65466111524119,163.80931254760867,3.298971513820853,96,0.5815323057335864,29.5,0.41060724917760616,107,Time Limit,-1391.9701648027403,-49.38129374989885,0.0,32,11,20,29,3
31,31,oracle_v2,120,3481860.9523194903,109392361.23423004,244.03532323148733,596.4574888773737,2.444144072993832,91,2.736225796595333,15.5,0.43610762727766683,51,Time Limit,-1150.0756299771622,-37.07506581252802,0.0,19,11,7,16,3
32,32,oracle_v2,120,650271.939154945,23561423.487424325,46.96536744996384,122.9895499575154,2.6187285788522043,83,0.6205424204288187,26.5,0.3176563332779973,86,Time Limit,-1463.4716545081792,-65.66352915745411,0.0,30,11,18,29,1
33,33,oracle_v2,120,2509007.8275201595,60696183.095435984,35.764858128101594,228.3463464345703,6.384656849935923,101,1.1751295759949456,25.0,0.3984829179628061,92,Time Limit,-1382.0772580843077,-50.72914034720158,0.0,25,11,13,24,1
34,34,oracle_v2,120,3057386.436237574,93676600.6052333,192.30838024905486,596.4156011041798,3.1013500312975104,96,0.9782085199037784,23.5,0.41633206344512774,78,Time Limit,-1285.6518174374523,-39.69322856393341,0.0,25,11,13,23,2
35,35,oracle_v2,120,1315579.900747529,42252955.750630684,270.37562672346496,269.4438726406012,0.9965538532664532,89,0.7202899176875033,27.5,0.3574529300208204,92,Time Limit,-1504.1058878167794,-54.47520875135718,0.0,29,11,17,27,2
36,36,oracle_v2,120,6316513.357089515,181461539.45756915,401.5418672275648,354.5260905326019,0.8829118940458636,102,0.8231743817098863,23.0,0.48318238784685746,40,Time Limit,-917.6293198416591,-30.89580906432116,0.0,25,11,13,25,0
37,37,oracle_v2,120,2422117.447341068,53055254.01049746,60.08971495470425,510.1848915942559,8.490386282891079,104,1.0289432069537834,25.0,0.3923270270573644,109,Time Limit,-1442.693333428229,-53.465260812607326,0.0,26,11,14,24,2
38,38,oracle_v2,120,5151082.556503284,129357174.52727252,89.57557417066194,314.4198107276657,3.5101065624053285,109,1.5311363444572166,22.5,0.4488151790503311,83,Time Limit,-1128.1104379861542,-37.8272811541132,0.0,24,11,12,19,5
39,39,oracle_v2,120,560412.9306400126,21466934.630271103,96.90434715994792,296.70555057796054,3.0618394248941763,78,0.9702126016660926,27.5,0.312038660353799,85,Time Limit,-1514.2834621570612,-67.34570625541241,0.0,31,11,19,26,5
40,40,oracle_v2,120,1996224.4056858455,80431482.74175441,1311.1203192645094,912.4771173975101,0.6959522356494151,83,0.858853391801244,27.5,0.398477362904181,94,Time Limit,-1514.0303055033264,-41.900013517588256,0.0,29,11,17,29,0
41,41,oracle_v2,120,7074070.736269022,200203929.2722138,668.095082624915,821.8291082693248,1.2301080035500274,86,1.6461008629289757,16.5,0.49599695708750013,36,Time Limit,-1027.211020923808,-28.55413036751942,0.0,21,11,9,18,3
42,42,oracle_v2,120,3200025.9498929814,94924766.41730323,302.8937934011477,609.6735400273018,2.012829425064712,93,1.2691042381897464,21.5,0.42155387357425594,92,Time Limit,-1385.2276599996208,-42.17365018793901,0.0,25,11,13,25,0
43,43,oracle_v2,120,2221477.0138537083,89290989.14389575,201.92556745790873,498.07585665548527,2.4666309617245914,82,0.9546141161671908,30.5,0.4091761859694875,62,Time Limit,-1297.2122062178325,-40.24047960153286,0.0,35,11,23,33,2
44,44,oracle_v2,120,482251.12169508886,49045668.614617154,228.9089343122852,374.883628611678,1.6376976710758229,66,1.126375591977404,21.0,0.3272306548685887,56,Time Limit,-1523.413653565417,-51.17045162917448,0.0,31,11,19,23,8
45,45,oracle_v2,120,4672917.901792004,155418576.36988,813.3007632045445,580.6800570452415,0.7139794812896307,78,0.8949592497310751,22.5,0.464504281030514,43,Time Limit,-1181.9996437168604,-30.833170578824845,0.0,22,11,10,19,3
46,46,oracle_v2,120,4137671.493599852,95592777.15981302,177.36471742962104,775.3020522278874,4.371230442354072,104,0.7495041961373637,32.5,0.43198983877769,92,Time Limit,-1338.2894021798934,-43.27003528332234,0.0,32,11,20,32,0
47,47,oracle_v2,120,887119.9111668738,35741445.26675987,126.38428458848874,291.1125055729459,2.3033916481057553,73,0.6078442883306158,23.0,0.3353061821191902,80,Time Limit,-1501.1660502347734,-56.109085121383615,0.0,26,11,14,21,5
48,48,oracle_v2,120,5275031.090753025,134220958.3605438,214.66710875789215,879.7576734623531,4.09824159161043,111,2.1407421227520036,17.5,0.45059584929419094,78,Time Limit,-1064.6769053498429,-37.18051376102863,0.0,23,11,11,22,1
49,49,oracle_v2,120,2074372.4305273746,64873107.57338102,266.09290468074533,462.7538604790811,1.739068770113532,87,1.1998116159085281,22.0,0.3929621942133855,61,Time Limit,-1305.048740900026,-45.40715189946908,0.0,23,11,11,20,3
50,50,oracle_v2,120,919670.2027265385,31823652.613372527,215.19848585829132,490.33823214533714,2.2785394153201706,88,1.0197181593989286,21.0,0.32889541301784425,78,Time Limit,-1405.0254700373982,-58.82922131720208,0.0,24,11,12,22,2
51,51,oracle_v2,120,2519211.853251296,74700148.09763436,493.06889670105807,523.6165817013211,1.061954191806959,94,0.7989057633686043,26.5,0.40439978102687313,79,Time Limit,-1371.7029500429178,-44.58675618301844,0.0,27,11,15,27,0
52,52,oracle_v2,120,3898943.140711682,115435927.64185667,244.39840789977862,314.83995360372194,1.2882242413495162,95,0.6889417096533164,21.5,0.43935835217522623,60,Time Limit,-1149.9861104509537,-39.05681118187508,0.0,27,11,15,26,1
53,53,oracle_v2,120,3283377.3708734238,123427744.25825691,221.68674719675025,238.51820324835023,1.075924502769946,87,0.6436290699405501,19.0,0.44596866361601095,46,Time Limit,-1140.684107830757,-35.82498160468935,0.0,23,11,11,20,3
54,54,oracle_v2,120,3499388.1485447506,76580890.19179775,75.44220827713674,532.3772290821788,7.056755644353523,104,6.19264000000002,21.0,0.4208590300412126,103,Time Limit,-1184.84820204999,-49.658306806642415,0.0,27,11,15,23,4
55,55,oracle_v2,120,2823225.9213400288,109318795.79055162,482.5902917209369,631.1041595581619,1.3077431734227773,82,0.5796034475240291,23.0,0.4272969134761285,64,Time Limit,-1288.1496429472081,-37.93009217054397,0.0,27,11,15,27,0
56,56,oracle_v2,120,2782810.793163826,82554552.45895615,122.80748487165039,251.66505416642286,2.049264785688309,92,1.0920142102279935,19.0,0.4527643434628839,35,Time Limit,-1130.4054927834586,-42.97215372810432,0.0,22,11,10,18,4
57,57,oracle_v2,120,552227.439847992,25881269.74685029,42.139827467310106,135.4422496593468,3.214114954894295,82,0.4906823799847285,29.0,0.31852282135908716,85,Time Limit,-1508.4095999441727,-65.02278356059637,0.0,34,11,22,32,2
58,58,oracle_v2,120,3972092.0577993393,94833105.37765321,114.8153188108035,571.644134282622,4.9788141530538805,109,1.776518741317632,19.5,0.4327401938928078,71,Time Limit,-1114.625355509258,-43.02899631805875,0.0,19,11,7,18,1
59,59,oracle_v2,120,3143791.915418717,94183626.4272756,567.0967502600902,728.9049355064463,1.2853273011565405,94,1.5060428019130763,20.0,0.42662425638766693,56,Time Limit,-1156.9313340755125,-40.3088704013199,0.0,21,11,9,21,0
60,60,oracle_v2,120,1760889.3412052952,70490103.40833487,181.17013556578874,511.4506185272596,2.823040436162479,83,0.6502882209438505,19.0,0.3960857325232517,50,Time Limit,-1259.1427645784036,-43.60667023813831,0.0,23,11,11,20,3
61,61,oracle_v2,120,4716296.437673071,153870543.67300788,1065.4757338421266,1002.0041593708431,0.940428887814832,88,2.608498920838634,17.0,0.4960531304537803,31,Time Limit,-1100.9389234541188,-30.674350884418935,0.0,21,11,9,20,1
62,62,oracle_v2,120,2469742.0212451764,70433506.14970818,341.6773420266635,443.43151800558456,1.2978077954346194,87,1.01987470573459,29.5,0.4018521987708713,92,Time Limit,-1477.565101575007,-45.34396447778523,0.0,33,11,21,32,1
63,63,oracle_v2,120,2834565.036174365,58534336.064640924,54.82921218571426,213.9091246355635,3.901371478966781,98,0.5484124666566456,30.0,0.40436739151131584,87,Time Limit,-1292.5837187538482,-51.62423347278931,0.0,29,11,17,28,1
64,64,oracle_v2,120,2037351.8523988626,55147959.230655625,165.47631350597229,316.4523640581715,1.9123725767963176,104,0.6429538508454644,24.5,0.3875229194947437,89,Time Limit,-1360.2206576367848,-50.56554074854422,0.8333333333333334,27,11,15,27,0
65,65,oracle_v2,120,1285121.6645847692,61009473.87275042,363.22357622632603,301.1927498296573,0.8292213654159468,71,0.5282908199124321,32.0,0.36798623959183807,88,Time Limit,-1621.707137636586,-45.342365531919114,0.0,34,11,22,33,1
66,66,oracle_v2,120,4934378.1200536415,143878845.57350048,506.577677422451,1073.9138682472778,2.1199391842757955,82,0.7133372393754084,25.5,0.44892738572063595,67,Time Limit,-1298.6560563213131,-32.28860706008433,0.0,28,11,16,28,0
67,67,oracle_v2,120,2523870.904145517,71206858.38487366,562.9389853318539,894.0002961222681,1.588094481669719,94,1.4327922231274621,23.5,0.40314118979351127,83,Time Limit,-1372.4854774816176,-45.60938029978362,0.0,24,11,12,23,1
68,68,oracle_v2,120,4780055.961882142,151319459.75247112,106.95641997373495,442.39876854374376,4.136252584486117,101,1.7962070983619387,26.0,0.45143390492798097,62,Time Limit,-1082.937983159263,-32.175975925430755,0.0,29,11,17,29,0
69,69,oracle_v2,120,2376204.7271918384,59600570.324124806,168.70457342440915,389.7072110722841,2.309997904395276,96,0.8300017187739394,23.0,0.39963918493381095,108,Time Limit,-1420.5823620119525,-51.46119985731581,0.0,26,11,14,22,4
70,70,oracle_v2,120,2792853.921463726,94555041.33400072,181.48260757841794,209.7937784213273,1.1559993611546286,92,0.5277536947536662,24.5,0.42751908179755255,50,Time Limit,-1156.6309286411936,-39.86471806190961,0.0,31,11,19,31,0
71,71,oracle_v2,120,2487528.2115453007,56889828.60759587,91.44600440112275,230.57360761932193,2.521418066643172,101,1.102326868243736,27.5,0.39875147498050245,84,Time Limit,-1298.9553339844767,-52.34977202470124,0.0,29,11,17,29,0
72,72,oracle_v2,120,2450508.3910929156,65932975.07962072,443.74943663001983,561.6618449043224,1.265718440500496,97,0.7385431246530351,21.0,0.40235374918047473,78,Time Limit,-1301.1143966927382,-47.65568267093798,0.0,23,11,11,22,1
73,73,oracle_v2,120,3661589.3830153113,95514813.65784433,96.78244045316643,298.49202229450594,3.084154738161908,94,1.1641636568453502,24.5,0.4285682271447849,89,Time Limit,-1324.8759363607958,-42.423448258087795,0.0,26,11,14,26,0
74,74,oracle_v2,120,9778859.548433164,279830836.78543603,843.5360958976213,1150.981203860955,1.364471786635492,87,2.991627153407999,13.0,0.5331693831974985,29,Time Limit,-855.7653086435763,-22.726415611185466,0.0,18,11,6,18,0
75,75,oracle_v2,120,2315302.25506877,70035841.85840845,253.94838609702714,562.0885542887589,2.213396835977526,89,0.767924827236762,23.5,0.39998385675133674,73,Time Limit,-1346.5773872943712,-45.34380736404546,0.0,29,11,17,29,0
76,76,oracle_v2,120,3030532.6875527883,88229616.5918929,119.76967375458108,176.35668665413658,1.472465283787175,97,0.6768813569103337,22.5,0.42011437790860867,85,Time Limit,-1335.0352175592707,-43.17492294834772,0.0,25,11,13,25,0
77,77,oracle_v2,120,1240476.8106197035,38994878.620522305,40.53905800551303,169.77459762119304,4.187926557102163,89,0.8086309859855605,26.5,0.35584341319418883,93,Time Limit,-1449.7519053952315,-56.01078709954442,0.0,28,11,16,26,2
78,78,oracle_v2,120,3031692.055839968,74434446.31812043,169.46394720241923,339.5252113768505,2.003524743651218,102,0.7167365802468897,24.5,0.4132379266799854,84,Time Limit,-1311.2576059839391,-46.87357033691727,0.0,24,11,12,24,0
79,79,oracle_v2,120,3793963.954180121,139942003.5307924,232.8443856368938,317.0582257077654,1.3616743424606244,86,1.1844162257738637,14.5,0.4901088841377471,31,Time Limit,-1115.612511801827,-32.55083171978822,0.0,23,11,11,22,1
80,80,oracle_v2,120,1902026.5859279316,49504563.84478766,100.19454906605078,373.42779707741994,3.727027074409476,96,0.988245365197596,24.5,0.38128084014999014,87,Time Limit,-1390.007431338019,-53.32388272702702,0.0,23,11,11,23,0
81,81,oracle_v2,120,4516861.298104911,132569624.8316385,736.324350509743,1076.5343477251097,1.4620382267404928,100,1.4893932937523806,20.5,0.4450102049642858,73,Time Limit,-1165.6551781157793,-35.567747182605096,0.0,22,11,10,22,0
82,82,oracle_v2,120,3823350.6335792984,120047648.81054908,257.723736655432,652.1860555904233,2.530562625135201,100,0.7028633969700053,24.0,0.45186532089927556,43,Time Limit,-1003.6844174675686,-35.811554693721924,0.0,28,11,16,26,2
83,83,oracle_v2,120,4050207.881528084,168537766.20794883,81.20225453653725,164.65515843481307,2.0277165871142886,116,1.8808682693425667,8.0,1.0,0,Time Limit,-709.5232762674634,-30.790376823643143,0.0,20,11,8,17,3
84,84,oracle_v2,120,4134855.944177247,103049776.03469282,127.79589658577012,279.00508051891666,2.183208443877246,109,1.1236114944822537,20.5,0.43541358273572023,74,Time Limit,-1169.892751233723,-41.63162888850213,0.0,23,11,11,23,0
85,85,oracle_v2,120,5340021.323236691,140571965.7630589,725.1735287432053,895.77844157847,1.2352608114790666,92,0.8261435609350524,22.0,0.4511550414392957,86,Time Limit,-1291.195852084107,-34.279862586452346,0.0,23,11,11,22,1
86,86,oracle_v2,120,2654588.4530238397,67110530.91617765,76.1926896123034,300.8984389567593,3.949177283120493,97,0.7424539536509053,25.5,0.4058754504234582,90,Time Limit,-1350.2468963438544,-47.965576931780326,0.0,28,11,16,28,0
87,87,oracle_v2,120,2676155.6558262967,79802608.53051862,450.05003326856365,591.4854979207109,1.3142660908720494,91,1.5418377061791335,24.5,0.41179756746367474,62,Time Limit,-1276.1200068312935,-42.46274613990843,0.0,25,11,13,25,0
88,88,oracle_v2,120,4711850.071321016,129150434.75794324,114.59396875064046,788.4163851003004,6.880086218288814,110,0.8579665635665752,21.0,0.4464689590298697,69,Time Limit,-1053.3917423363248,-36.598020598744554,0.0,24,11,12,22,2
89,89,oracle_v2,120,2940491.114506089,95242100.73492847,198.9284317700695,574.5866745293515,2.888409009293779,90,0.8809412326224441,20.0,0.4207138268194758,67,Time Limit,-1242.8962836400249,-40.46754485562074,0.0,25,11,13,25,0
90,90,oracle_v2,120,1575171.2167676531,43809087.70779283,266.2726324400145,270.7051471142612,1.016646527409253,93,0.4767336491441851,23.5,0.37023061146820974,73,Time Limit,-1307.8629383152047,-54.434425264815964,0.0,27,11,15,27,0
91,91,oracle_v2,120,7039445.141876307,195051542.43659174,3124.388967689656,1625.2640195728436,0.5201861984471967,75,1.120932760723486,26.5,0.4676442517248553,68,Time Limit,-1302.8659033513165,-28.48280181655495,0.0,27,11,15,27,0
92,92,oracle_v2,120,5871744.49036972,149107429.49037778,696.6702415626169,1334.445540197173,1.9154622382090547,95,0.956219711330164,23.5,0.4564030860307282,65,Time Limit,-1102.0627447159548,-33.72273768704434,0.0,25,11,13,24,1
93,93,oracle_v2,120,3266881.9478213615,79392103.77083689,107.77488362230001,343.20953505914156,3.1845038799756784,106,1.3162450682644011,23.5,0.4189376661884198,91,Time Limit,-1249.5929322833126,-46.15315196624306,0.0,26,11,14,26,0
94,94,oracle_v2,120,9949327.619873567,260613226.1739918,1406.8088923413509,1274.0442649917727,0.9056271053784583,87,0.8176145102276323,24.5,0.48663043291830027,57,Time Limit,-1049.7611482124332,-24.742467892411188,0.0,27,11,15,27,0
95,95,oracle_v2,120,3451532.9603738664,87070980.2663083,54.71622107082481,140.9076389405388,2.575244345879581,101,0.7075289639046002,28.0,0.4236956263842827,80,Time Limit,-1259.6052025642402,-44.27658480020218,0.0,28,11,16,28,0
96,96,oracle_v2,120,3720304.8489136654,107544867.47821864,111.33343343763828,292.9451472562954,2.631241471775719,93,1.3548556460620809,17.5,0.43550997391178187,56,Time Limit,-1182.87625666545,-38.23676995728432,0.0,22,11,10,22,0
97,97,oracle_v2,120,2647754.589648087,86798087.01604539,269.9766498454376,477.65196630881513,1.7692343637209822,95,1.4514358582947657,20.0,0.41288957872436743,58,Time Limit,-1181.0809877512334,-39.849342511876344,0.0,22,11,10,22,0
98,98,oracle_v2,120,3183205.604214703,70404828.43950863,58.572170744268924,210.96115327906492,3.601730149291192,101,1.1158640043692167,29.0,0.41275915807457403,93,Time Limit,-1332.3299336625864,-48.36861563710556,0.0,27,11,15,27,0
99,99,oracle_v2,120,6727059.252827418,199815452.91829288,129.0001189135373,191.7155672342429,1.4861658178992905,104,3.818381142799995,11.5,1.0,5,Time Limit,-684.4803383962754,-28.75450404644032,0.0,17,11,5,17,0
100,100,oracle_v2,120,3340137.334830509,98005447.35354267,199.4452553968185,461.70059785034965,2.31492394708385,100,1.5430417846477293,22.5,0.4234943218217563,75,Time Limit,-1230.6711068137377,-39.65320756322685,0.0,25,11,13,25,0
101,101,oracle_v2,120,1766200.7831612923,69398957.06909047,1083.0256597345788,507.9586762589422,0.46901813608315573,81,0.6625677415286427,27.5,0.38993804398891896,84,Time Limit,-1452.0414933665038,-45.5221957702021,0.0,33,11,21,33,0
102,102,oracle_v2,120,3008777.286667779,76618961.54927489,405.5477135580854,649.278379199615,1.600991344527999,90,0.8229628677510172,20.5,0.4152804707248849,88,Time Limit,-1355.2237666507942,-46.25610231809774,0.0,25,11,13,25,0
103,103,oracle_v2,120,4527685.512073936,128792024.35263553,168.90375582441342,176.6637588953491,1.0459433423079278,100,0.871370127534881,26.0,0.44485187917288005,82,Time Limit,-1197.5700572821079,-36.340371285991836,0.0,28,11,16,26,2
104,104,oracle_v2,120,1860954.1163871929,47708253.81433545,85.73068421525059,549.3901790014464,6.408326074034945,101,0.9840950840986117,29.0,0.38054076521944274,99,Time Limit,-1442.6500521099945,-53.86380224408534,0.0,30,11,18,29,1
105,105,oracle_v2,120,4027227.391951842,106033776.88645382,530.9285309383744,862.9614046949032,1.6253814862231775,90,1.1145119644156032,18.5,0.4332455434610121,87,Time Limit,-1340.9373305076701,-39.65832982591654,0.0,21,11,9,21,0
106,106,oracle_v2,120,3806023.957653843,115932455.6281661,353.32017727729567,616.0589075178417,1.7436278682559962,93,1.3675139750363314,22.0,0.4318694598008832,84,Time Limit,-1318.2377474782718,-36.22733869745904,0.0,26,11,14,26,0
107,107,oracle_v2,120,1225404.7945715126,55223537.126476765,273.86465937070216,238.96777906765996,0.8725761827640349,80,1.284290966907591,17.5,0.3815294672025999,47,Time Limit,-1289.847403818332,-48.758049613437045,0.0,24,11,12,23,1
108,108,oracle_v2,120,3822539.4445401686,124596041.81124988,329.44228115491484,713.6212431127104,2.166149531902803,73,0.7092396863395294,22.0,0.4359569328458543,75,Time Limit,-1378.6429217492075,-34.482218571405014,0.0,27,11,15,27,0
109,109,oracle_v2,120,4582934.266427907,121389326.18196239,160.18698097112525,455.2029727563649,2.841697683524095,100,0.7823064962852854,24.0,0.4440351354628253,65,Time Limit,-1137.471231603905,-37.26824849860439,0.0,25,11,13,24,1
110,110,oracle_v2,120,3560913.8501170273,114333347.08600242,132.4122649919982,322.02734134276426,2.432005383808099,83,1.018534754717452,19.5,0.43039948735888717,67,Time Limit,-1291.7273942077738,-35.639597064554295,0.0,23,11,11,23,0
111,111,oracle_v2,120,5336510.753901346,173038536.15943116,540.3692936276226,358.4924997499783,0.6634213009094877,87,0.6580313028889283,23.5,0.45977387080247223,60,Time Limit,-1180.6653414407992,-30.105101517788814,0.0,30,11,18,30,0
112,112,oracle_v2,120,3281780.0272750384,94702905.77172208,71.09884793782687,229.98098554242787,3.2346654300719067,104,2.4698572251647946,15.5,0.4792753544010702,31,Time Limit,-898.9809478747004,-42.425064353097625,0.0,21,11,9,20,1
113,113,oracle_v2,120,4701958.437146671,139287191.9997086,205.50688268384155,586.065316808659,2.8518038381725677,95,0.7902276838205045,22.5,0.4473300559370749,66,Time Limit,-1154.1040262453973,-33.57248389616428,0.0,23,11,11,23,0
114,114,oracle_v2,120,2824622.9886807376,68735419.1086846,35.288181773309866,195.9231359753547,5.552089286831455,105,1.1839800540987977,22.0,0.4107563588516183,97,Time Limit,-1308.1861647469789,-50.095620480380724,0.0,25,11,13,24,1
