episode,steps,final_mrr,final_cash,final_cac,final_ltv,final_headcount,interest_rate,consumer_confidence,competitors,quality,cause,total_reward
33,120,2379284.3121682433,64341894.962491944,338.590280296236,4498.42555105713,113,13.926370585803783,-159.34514016171622,33,0.1,Time Limit,-719.994105037508
34,120,2945119.2453869157,94584634.0133643,420.37161091762,4498.42555105713,118,15.791481571214534,-64.19895822194715,24,0.1,Time Limit,-685.5173659866356
35,120,2470050.372105467,68651437.08550048,394.08544332710807,4498.42555105713,116,13.452644787866948,-103.27227839727496,25,0.1,Time Limit,-713.2545629144995
36,120,2217052.9405086534,57492897.43122161,309.17227360301996,4498.42555105713,110,10.389045226886465,-75.72113956052164,31,0.1,Time Limit,-729.1691025687784
37,120,2608970.9551856737,74310459.19967951,173.18069960342171,4498.42555105713,117,13.916744513179019,-168.35222023403844,27,0.1,Time Limit,-701.713540800321
38,120,2069716.1897885536,49463179.683207825,311.6825903342653,4498.42555105713,108,12.211589553247688,-89.42262896170782,34,0.1,Time Limit,-738.9948203167919
39,120,2377155.6955307913,63152114.40856903,221.61411422167308,4498.42555105713,115,14.388733468487414,-136.92417615078205,22,0.1,Time Limit,-719.499885591431
40,120,2038476.8140296247,48854687.68168499,226.3302896182421,4498.42555105713,106,17.21886266611401,-131.85810087736888,35,0.1,Time Limit,-741.1133123183148
41,120,2763988.567907257,87633172.88366933,395.59517056023986,4498.42555105713,116,13.43072311411251,-35.98709210524793,32,0.1,Time Limit,-694.2568271163308
42,120,1969306.5636955495,47052342.848854,243.38695453127292,4498.42555105713,103,16.659875595412778,-141.10531131914956,21,0.1,Time Limit,-745.1936571511457
43,120,2293143.329809976,59212355.48710945,917.4805671825889,4498.42555105713,113,17.059648846813822,-77.32151130402771,32,0.1,Time Limit,-720.0196445128905
44,120,2560091.261125035,72728571.52299175,193.6833855591574,4498.42555105713,113,14.29420686155667,-110.90727492099572,20,0.1,Time Limit,-711.5194284770082
45,120,1995161.3741311654,47632948.11304326,284.6955226682416,4498.42555105713,107,10.948599772649374,-204.15730723505067,33,0.1,Time Limit,-741.5630518869568
46,120,2830493.112693021,86903981.80747163,414.3458586981463,4498.42555105713,116,16.319259381521512,-24.558847896255088,29,0.1,Time Limit,-694.9220181925286
47,120,2723440.973573418,82077586.92660958,430.90962544356137,4498.42555105713,119,16.070962166055267,-86.88680384964707,31,0.1,Time Limit,-690.1264130733905
48,120,2552326.903854419,72368022.91831763,320.9014085549835,4498.42555105713,118,13.881744586389834,-184.34962349754497,29,0.1,Time Limit,-707.7419770816822
49,120,1901869.3868276216,44034790.774447754,391.7651504351955,4498.42555105713,106,11.14904203045886,-28.035755440602735,36,0.1,Time Limit,-745.9152092255521
50,120,2536138.4183688536,72390838.249686,377.05776483015234,4498.42555105713,117,16.885796915295472,-63.62168849251083,39,0.1,Time Limit,-708.5851617503141
51,120,2036565.2824589605,48569275.67757455,191.68238217352342,4498.42555105713,109,12.573580194405203,-114.43367638795868,35,0.1,Time Limit,-738.9367243224254
52,120,2442035.5839733966,66836510.17515585,444.06395713406476,4498.42555105713,116,13.080446699850034,-72.0711330216078,34,0.1,Time Limit,-714.9734898248446
53,120,3056954.569078815,102154799.05281763,172.76776278032068,4498.42555105713,117,20.148718566637445,-139.67630394118737,33,0.1,Time Limit,-678.8772009471825
54,120,2389550.247841644,65507479.08579941,509.67433074157464,4498.42555105713,116,13.141588560436325,-44.229887979010805,38,0.1,Time Limit,-716.4065209142007
55,120,2375168.902712237,65439212.51035313,545.8498006265625,4498.42555105713,115,22.33840744496737,-67.10823667184832,30,0.1,Time Limit,-717.2207874896467
56,120,2755373.39904929,84513153.909271,603.9671822451241,4498.42555105713,118,11.01094569883129,-34.31879276624338,21,0.1,Time Limit,-695.6128460907288
57,120,2695247.9214216596,79636966.98277134,315.0307259798388,4498.42555105713,118,18.49932869827813,-155.21787356884974,29,0.1,Time Limit,-700.4810330172287
58,120,2325441.737231696,60946316.55517296,318.38858587816304,4498.42555105713,115,13.053621130514728,-57.501936286672404,29,0.1,Time Limit,-721.6496834448269
59,120,2320594.8210958247,61363285.98151433,211.54191732722012,4498.42555105713,115,17.47034489548224,-149.57471437111184,23,0.1,Time Limit,-714.1127140184856
60,120,2193993.431575057,53960655.708214104,141.0213076564827,4498.42555105713,111,13.747613082331148,-86.45526625498323,28,0.1,Time Limit,-727.019344291786
61,120,1901161.160250818,43772124.05212276,391.06178359946387,4498.42555105713,104,16.90770942495161,-111.98840695603725,27,0.1,Time Limit,-747.5518759478771
62,120,2623572.1484782873,76481148.52044186,432.71641187418675,4498.42555105713,118,16.10732671186074,-56.908599718892546,23,0.1,Time Limit,-703.6288514795579
63,120,2432496.2912489595,65915784.62791882,197.60830280225017,4498.42555105713,115,12.969429656426819,-104.53153229668166,31,0.1,Time Limit,-716.7622153720816
64,120,2557917.8981113043,72166868.60904285,135.27203326342982,4498.42555105713,114,11.754302482595953,-182.13586468773443,18,0.1,Time Limit,-711.3831313909569
65,120,1874966.7076490163,43666573.479241125,375.7797188453588,4498.42555105713,102,18.15541946478663,-180.69114043319965,32,0.1,Time Limit,-749.4594265207588
66,120,2216817.714337049,57111182.6683908,348.61255651807784,4498.42555105713,113,16.971740096849057,-115.75263365959194,37,0.1,Time Limit,-727.3528173316093
67,120,2512808.389135264,69698894.77148035,165.89188315666485,4498.42555105713,118,22.29445549326456,-141.71398435925911,30,0.1,Time Limit,-705.4031052285201
68,120,2420133.2896131915,64734491.17697536,552.4787313256812,4498.42555105713,115,12.68580364968761,8.07835237981956,27,0.1,Time Limit,-717.8935088230243
69,120,2175118.8017163253,53452253.1159205,173.02894361640847,4498.42555105713,113,20.115233839541954,-128.39788737260037,40,0.1,Time Limit,-723.7557468840798
70,120,2273188.7525549447,60549471.23642784,350.04841667683905,4498.42555105713,111,16.755825349432126,-143.049541507519,28,0.1,Time Limit,-725.5185287635725
71,120,2349891.809205691,62914115.114704065,230.84387205709513,4498.42555105713,113,16.50014886511392,-103.53879606483864,31,0.1,Time Limit,-721.3658848852962
72,120,2020553.136271812,47969060.335754395,172.22690089883895,4498.42555105713,107,25.093600284615153,-118.33017059637497,42,0.1,Time Limit,-741.1309396642454
73,120,3079045.675726415,102759839.50032803,234.84036927955,4498.42555105713,119,18.83452132338932,-60.89863882196867,25,0.1,Time Limit,-676.4681604996721
74,120,2219570.0901507875,55911668.983997986,180.87908076622733,4498.42555105713,112,12.998236314482824,-40.2018124106324,27,0.1,Time Limit,-729.2663310160018
75,120,2230282.9018064965,56571060.12673374,300.90422899505705,4498.42555105713,111,11.680050120036647,-197.02585665809718,30,0.1,Time Limit,-724.4189398732665
76,120,2117228.366475536,52086231.812564604,397.35951268154605,4498.42555105713,110,20.12922698133255,-96.6313067158892,25,0.1,Time Limit,-734.7537681874355
77,120,2377206.7126272065,62580319.4905618,253.40498761947535,4498.42555105713,117,19.984566340640168,-168.02205816786275,43,0.1,Time Limit,-713.2276805094382
78,120,2403982.0149488463,63978656.28922367,477.56198616408864,4498.42555105713,115,13.938304803920062,-84.43770473839109,27,0.1,Time Limit,-718.6993437107764
79,120,2334931.120559648,61825993.17902795,345.50084056059563,4498.42555105713,113,15.405132742743865,-43.125800806664856,23,0.1,Time Limit,-722.6300068209722
80,120,2169387.9119647746,53816268.57034846,309.1932309644704,4498.42555105713,111,14.677899331742928,-77.47917816268398,32,0.1,Time Limit,-725.0197314296515
81,120,2097544.9769395157,51006709.110706635,181.18522201719088,4498.42555105713,110,11.260884656146061,-117.98913783064937,33,0.1,Time Limit,-730.6312908892934
82,120,2593900.716552062,74245737.78667603,723.6421410778428,4498.42555105713,119,17.490923019919574,-200.9794808090174,20,0.1,Time Limit,-697.9122622133237
83,120,3203990.5731602837,109627564.60094658,597.9788812735361,4498.42555105713,116,18.049772355717653,-8.36409066681713,25,0.1,Time Limit,-672.2624353990535
84,120,2925229.552535646,94713629.26900879,195.82482303237532,4498.42555105713,116,18.564571795221696,-142.96838303495855,28,0.1,Time Limit,-687.208370730991
85,120,3259317.0804870403,107796617.18609461,389.80104080797327,4498.42555105713,117,15.04582185584961,42.522777664108695,31,0.1,Time Limit,-673.2353828139056
86,120,2189993.1462099478,55876411.6422609,220.6102923049882,4498.42555105713,112,17.437393521737707,-141.90938918798315,34,0.1,Time Limit,-729.2935883577396
87,120,2309313.6868440327,60798503.137446806,514.5095891365079,4498.42555105713,115,12.54467250225234,-166.51284300212615,23,0.1,Time Limit,-721.7654968625529
88,120,2392433.297304491,64585946.36585685,785.3938716765857,4498.42555105713,113,17.16982617864245,-118.64395370223724,31,0.1,Time Limit,-719.7420536341435
89,120,2279115.4207571857,59865575.58554253,171.56933518967264,4498.42555105713,112,15.322068405159799,-86.48606410507472,19,0.1,Time Limit,-725.2084244144575
90,120,2693069.473204244,80739298.2208137,251.8108439034914,4498.42555105713,115,13.301515963186567,-111.87534243769284,32,0.1,Time Limit,-702.0647017791864
91,120,2803327.5277853147,88359790.72660461,267.5692775534822,4498.42555105713,115,11.518869953091851,-54.67542558028429,28,0.1,Time Limit,-694.3962092733955
92,120,2191171.144261869,56386283.70692642,162.3711412207552,4498.42555105713,110,18.770283309740687,-127.69435909525254,32,0.1,Time Limit,-730.4437162930739
93,120,2728919.3069903348,81742196.84116209,245.55568711695045,4498.42555105713,119,16.39340820619031,-92.14979950592294,30,0.1,Time Limit,-697.4858031588379
94,120,2559367.546567607,73455262.80036148,201.44384883263257,4498.42555105713,118,10.843673777946963,-107.17122326407386,30,0.1,Time Limit,-706.6707371996387
95,120,2027651.5704260706,49701269.35840322,207.58062413628386,4498.42555105713,107,14.310097044601061,-145.24765567715735,18,0.1,Time Limit,-739.4007306415966
96,120,3181347.383070118,107559457.60138474,251.6767805095184,4498.42555105713,116,13.085008114951515,27.01214237672842,41,0.1,Time Limit,-674.2905423986153
97,120,2360579.2333661774,62507148.405494235,419.16836175760045,4498.42555105713,114,10.063043172144914,-55.864349390048986,33,0.1,Time Limit,-715.9948515945059
98,120,2230843.1437861472,57659431.75730426,356.14581581161707,4498.42555105713,110,12.70063521402849,-125.04440458073725,37,0.1,Time Limit,-729.2365682426959
99,120,2568595.2559774644,74053493.97060898,229.8601166777154,4498.42555105713,116,13.080415525130084,-59.08925877698348,40,0.1,Time Limit,-707.8205060293908
