scenario_id,Scenario,Survival %,Avg Final MRR,Median Final MRR,Avg Rule-40 Post Shock (25-60),Mean Recovery Time (Mo),Median Recovery Time (Mo),Recovered %,Decision Difference vs Boardroom %,Avg LLM Calls,Avg Cache Hits
boardroom,Boardroom Baseline,100.0,15640.283409216603,15640.283409216603,-47.244374320958755,3.0,3.0,33.33333333333333,,0.0,0.0
oracle_v1,Oracle v1,100.0,17069.773732590947,17069.773732590947,-31.000067543061764,3.0,3.0,33.33333333333333,90.0,36.0,4.0
oracle_v3,Oracle v3,100.0,16667.631538091347,16667.631538091347,-37.3963454529256,3.0,3.0,33.33333333333333,90.83333333333333,38.0,1.0
