scenario_id,scenario_label,policy,month,reward_mean,reward_std,rule40_mean,rule40_std,n,reward_ci95,rule40_ci95
boardroom,Boardroom Baseline,boardroom,54,-6.11990163184192,0.0,-50.01671033092877,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,55,-6.115601066293586,0.0,-50.44409122060531,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,56,-6.113668421385677,0.0,-51.77630589115804,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,57,-6.10911265040989,0.0,-51.85774179072159,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,58,-8.106889343435194,0.0,-53.142100436325094,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,59,-13.110611301988074,0.0,-55.06101536022546,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,60,-8.089548879880942,0.0,-49.67060213323599,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,61,-13.093675924327721,0.0,-54.95918624063826,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,62,-8.07287647842643,0.0,-49.70747623995567,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,63,-13.076634250889569,0.0,-54.771637579991776,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,64,-6.044227311216717,0.0,-47.80666044679279,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,65,-6.041406100749775,0.0,-52.90774981948672,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,66,-6.036076695754422,0.0,-53.18275461869195,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,67,-11.040142098015398,0.0,-55.22153384328959,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,68,-11.026597684072916,0.0,-51.51637844449359,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,69,-5.994398864488882,0.0,-47.95182868404081,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,70,-7.998436836549802,0.0,-53.729390218192,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,71,-8.005687050664902,0.0,-55.23703519973766,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,72,-23.057931899999865,0.0,-63.689632769146286,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,73,-13.069469187943458,0.0,-59.239022322657846,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,74,-13.088615564364943,0.0,-61.32023102557936,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,75,-13.101488777667216,0.0,-61.53724688478949,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,76,-13.143749901974541,0.0,-67.82406385963634,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,77,-13.176538354285206,0.0,-69.50603007202258,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,78,-13.221577979946456,0.0,-75.01050607136946,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,79,-23.271229286649312,0.0,-80.68665811619789,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,80,-28.3195060925555,0.0,-86.21665085668943,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,81,-28.360167054261478,0.0,-90.63723968116301,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,82,-28.39764470588257,0.0,-95.81907986509162,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,83,-18.438455215900476,0.0,-103.31483189995488,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,84,-28.4798609306751,0.0,-111.62727103135056,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,85,-18.515047805372916,0.0,-118.69734475187961,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,86,-18.54204651506737,0.0,-124.2266793646895,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,87,-18.571464500999223,0.0,-133.38342163834093,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,88,-28.596267601397884,0.0,-141.03293639834268,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,89,-18.625078363949417,0.0,-152.53871133212252,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,90,-13.648734235970688,0.0,-162.3287481608089,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,91,-28.678409355084128,0.0,-184.74212825195764,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,92,-18.697577874097938,0.0,-189.21996305061893,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,93,-18.715233276414544,0.0,-201.9866766001519,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,94,-18.729205259013703,0.0,-209.854035938997,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,95,-18.74625453370058,0.0,-225.16970800160686,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,96,-18.761640329191074,0.0,-241.25110661341802,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,97,-18.776445888625304,0.0,-254.9986391790019,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,98,-18.79650394297228,0.0,-282.547145535147,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,99,-18.812516315473555,0.0,-305.0758632120294,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,100,-18.82868600827296,0.0,-337.07417361980566,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,101,-18.84588259986894,0.0,-372.17210449545524,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,102,-28.858675768938312,0.0,-407.0378282306502,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,103,-18.871300495030233,0.0,-443.18746813217473,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,104,-18.883455734879583,0.0,-493.5761377141936,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,105,-18.901069939056242,0.0,-580.7120584615457,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,106,-18.916258648188034,0.0,-683.891021644199,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,107,-28.928552050401493,0.0,-798.6316746814999,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,108,-28.94153221379853,0.0,-976.595357508863,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,109,-18.950688546720375,0.0,-1152.531222238264,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,110,-28.95973358324026,0.0,-1411.1312418764194,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,111,-28.96788345007913,0.0,-1767.0918972401194,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,112,-28.97210813377404,0.0,-2025.268820199096,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,113,-18.97493493272473,0.0,-2249.8664903847684,0.0,1,0.0,0.0
boardroom,Boardroom Baseline,boardroom,114,-28.97941976255572,0.0,-2746.4880974748457,0.0,1,0.0,0.0
