scenario_id,Scenario,Survival %,Avg Final MRR,Median Final MRR,Avg Rule-40 Post Shock (25-60),Mean Recovery Time (Mo),Median Recovery Time (Mo),Recovered %,Decision Difference vs Boardroom %,Avg LLM Calls,Avg Cache Hits
boardroom,Boardroom Baseline,97.33333333333334,1389958.127640125,703215.5246314993,-48.321721567935015,9.236842105263158,2.0,67.55555555555556,,0.0,0.0
oracle_v1,Oracle v1,98.66666666666667,2350117.300977404,1474303.5649262152,-37.75058852239347,4.818713450292398,1.0,76.0,98.57572048514521,28.213333333333335,2.68
oracle_v3,Oracle v3,98.66666666666667,2251580.380817461,1360863.6078281072,-38.594577875996954,5.572254335260116,2.0,76.88888888888889,98.56459330143541,29.84,0.9866666666666667
