scenario_id,scenario_label,policy,month,reward_mean,reward_std,rule40_mean,rule40_std,n,reward_ci95,rule40_ci95
boardroom,Boardroom Baseline,boardroom,0,-6.503812512676413,1.4792338989964038,-57.95886841811476,35.08938312182544,75,0.3347821471937574,7.9414749981048605
boardroom,Boardroom Baseline,boardroom,1,-6.91463700506883,0.013348433896710725,-65.46145291285016,22.178732660904316,75,0.0030210349861821374,5.019519730646677
boardroom,Boardroom Baseline,boardroom,2,-6.898967329594709,0.018636549964850615,-65.61543911584619,24.092012479624916,75,0.004217848318477185,5.452535717049057
boardroom,Boardroom Baseline,boardroom,3,-6.882686899004292,0.022095544127149695,-62.89528669105353,21.344021291981356,75,0.005000692393082843,4.830606763897699
boardroom,Boardroom Baseline,boardroom,4,-6.865407297819843,0.026203439119478433,-60.11773549728799,18.184897308430184,75,0.005930396550695338,4.115629699633484
boardroom,Boardroom Baseline,boardroom,5,-6.848459657225643,0.03029844847892146,-50.50255983678105,15.864365324865693,75,0.006857184415050658,3.5904438716068383
boardroom,Boardroom Baseline,boardroom,6,-6.831079822556194,0.03413051564105816,-46.12441920088795,13.250825748619897,75,0.007724462858034698,2.9989441826766043
boardroom,Boardroom Baseline,boardroom,7,-6.815510279153328,0.03488860905835947,-45.67171694993384,10.063657896742198,75,0.007896035549946218,2.277620193520833
boardroom,Boardroom Baseline,boardroom,8,-6.799750291289303,0.03721989737424577,-43.60368398174889,10.168669372855835,75,0.008423655765146566,2.3013865278896986
boardroom,Boardroom Baseline,boardroom,9,-6.783442045875373,0.03945153770034359,-43.51684864296638,11.07673840773356,75,0.008928723517205311,2.5069018973676305
boardroom,Boardroom Baseline,boardroom,10,-6.767256311847461,0.04317001602537917,-41.52011666376518,8.870182909672438,75,0.009770294386283861,2.007511376338955
boardroom,Boardroom Baseline,boardroom,11,-6.750411770901422,0.047470790653311466,-41.07660722617099,8.156045759992216,75,0.010743651314834828,1.8458869243013292
