scenario_id,Scenario,Episodes,Survival %,Avg Final MRR,Median Final MRR,Avg Rule-40 Post Shock (25-60),Mean Recovery Time (Mo),Median Recovery Time (Mo),Recovered Shock Rate %,Avg LLM Calls,Avg Cache Hits
boardroom,Boardroom Baseline,50,98.0,1429703.1353720846,905423.2577341048,-47.4975543678079,7.282608695652174,3.166666666666667,69.33333333333333,0.0,0.0
oracle_v1,Oracle v1,50,100.0,2494025.3331034197,1734964.6606664648,-36.70575798565956,4.938775510204081,3.0,78.66666666666666,35.7,3.62
oracle_v4,Oracle v4,50,100.0,2507735.887620447,1735639.514518269,-36.77955483875098,5.2482993197278915,3.3333333333333335,80.0,35.62,3.76
oracle_v4_causal,Oracle v4 Causal,50,100.0,2499774.007526792,1737930.4517400656,-36.667919299670636,4.608843537414965,2.0,80.0,35.68,3.7
