scenario_id,scenario_label,policy,episode,seed,shock_month,shock_label,pre_shock_rule_40,recovery_month,recovery_time_months,recovered
boardroom,Boardroom Baseline,boardroom,14,14,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-39.25318386236492,28.0,4.0,True
boardroom,Boardroom Baseline,boardroom,14,14,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-50.60289771844199,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,14,14,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-65.93842562126912,,,False
boardroom,Boardroom Baseline,boardroom,15,15,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-44.98124188480969,25.0,1.0,True
boardroom,Boardroom Baseline,boardroom,15,15,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-34.8675421928449,67.0,19.0,True
boardroom,Boardroom Baseline,boardroom,15,15,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-38.5156179161525,75.0,3.0,True
boardroom,Boardroom Baseline,boardroom,16,16,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-38.101948930067806,25.0,1.0,True
boardroom,Boardroom Baseline,boardroom,16,16,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-37.08742766682174,51.0,3.0,True
boardroom,Boardroom Baseline,boardroom,16,16,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-38.94067880996659,75.0,3.0,True
boardroom,Boardroom Baseline,boardroom,17,17,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-23.089474299970917,,,False
boardroom,Boardroom Baseline,boardroom,17,17,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-39.1839517799721,,,False
boardroom,Boardroom Baseline,boardroom,17,17,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-45.150760091605534,,,False
boardroom,Boardroom Baseline,boardroom,18,18,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-35.41186133440686,25.0,1.0,True
boardroom,Boardroom Baseline,boardroom,18,18,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-34.23157487259765,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,18,18,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-29.679284145556206,74.0,2.0,True
boardroom,Boardroom Baseline,boardroom,19,19,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-46.978405109356984,25.0,1.0,True
boardroom,Boardroom Baseline,boardroom,19,19,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-51.222935005456144,51.0,3.0,True
boardroom,Boardroom Baseline,boardroom,19,19,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-49.321316295987856,73.0,1.0,True
boardroom,Boardroom Baseline,boardroom,20,20,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-32.258320869631966,,,False
boardroom,Boardroom Baseline,boardroom,20,20,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-42.90413196977706,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,20,20,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-48.418868996868206,,,False
boardroom,Boardroom Baseline,boardroom,21,21,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-41.28484792240302,25.0,1.0,True
boardroom,Boardroom Baseline,boardroom,21,21,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-41.48530532336131,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,21,21,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-48.265152387698265,,,False
boardroom,Boardroom Baseline,boardroom,22,22,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-38.62314468717451,84.0,60.0,True
boardroom,Boardroom Baseline,boardroom,22,22,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-44.60655572924634,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,22,22,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-46.90065634728013,73.0,1.0,True
boardroom,Boardroom Baseline,boardroom,23,23,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-34.35680887492604,,,False
boardroom,Boardroom Baseline,boardroom,23,23,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-42.964875029881966,,,False
boardroom,Boardroom Baseline,boardroom,23,23,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-46.05981782540555,,,False
boardroom,Boardroom Baseline,boardroom,24,24,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-43.05896855936081,25.0,1.0,True
boardroom,Boardroom Baseline,boardroom,24,24,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-40.87002073355097,55.0,7.0,True
boardroom,Boardroom Baseline,boardroom,24,24,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-43.52800643319124,75.0,3.0,True
boardroom,Boardroom Baseline,boardroom,25,25,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-34.09158752557993,89.0,65.0,True
boardroom,Boardroom Baseline,boardroom,25,25,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-43.50727872117212,71.0,23.0,True
boardroom,Boardroom Baseline,boardroom,25,25,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-40.41025044216164,78.0,6.0,True
boardroom,Boardroom Baseline,boardroom,26,26,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-47.207987512378786,26.0,2.0,True
boardroom,Boardroom Baseline,boardroom,26,26,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-57.94022110739638,,,False
boardroom,Boardroom Baseline,boardroom,26,26,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-79.62865802808292,74.0,2.0,True
boardroom,Boardroom Baseline,boardroom,27,27,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-45.48046482915465,,,False
boardroom,Boardroom Baseline,boardroom,27,27,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-59.79339037249667,,,False
boardroom,Boardroom Baseline,boardroom,27,27,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-77.58028045375728,,,False
boardroom,Boardroom Baseline,boardroom,28,28,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-43.09487675899067,28.0,4.0,True
boardroom,Boardroom Baseline,boardroom,28,28,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-47.88560184518825,53.0,5.0,True
boardroom,Boardroom Baseline,boardroom,28,28,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-51.72815341417726,73.0,1.0,True
boardroom,Boardroom Baseline,boardroom,29,29,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-34.00778913823015,,,False
boardroom,Boardroom Baseline,boardroom,29,29,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-41.5692077462176,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,29,29,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-43.48780079747867,74.0,2.0,True
boardroom,Boardroom Baseline,boardroom,30,30,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-52.55072911074686,25.0,1.0,True
boardroom,Boardroom Baseline,boardroom,30,30,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-58.03694835641326,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,30,30,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-54.0303659478308,,,False
